product_id,product_name_ru,product_name_eng,product_type,quantity,unit,brand,category,price,availability,store
0,молоко,milk,"3,20%",1.4,л,простоквашино,молочка,142.99,ИСТИНА,пятерочка
1,молоко,milk,"2,50%",925,мл,му-у,молочка,99.99,ЛОЖЬ,пятерочка
2,молоко,milk,"3,40%",930,мл,простоквашино,молочка,109.99,ИСТИНА,пятерочка
3,молоко,milk,"3,20%",1.947,л,село зеленое,молочка,199.99,ИСТИНА,пятерочка
4,молоко,milk,"2,50%",900,мл,станция молочная,молочка,82.99,ИСТИНА,пятерочка
5,молоко,milk,"3,30%",930,мл,станция молочная,молочка,96.49,ИСТИНА,пятерочка
6,сметана,sour cream,15%,300,г,домик в деревне,молочка,104.99,ИСТИНА,пятерочка
7,сметана,sour cream,20%,320,г,ростагроэкспорт,молочка,132.99,ИСТИНА,пятерочка
8,сметана,sour cream,20%,300,г,простоквашино,молочка,114.99,ИСТИНА,пятерочка
9,творог,cottage cheese,9%,180,г,искренне ваш,молочка,84.99,ЛОЖЬ,пятерочка
10,творог,cottage cheese,5%,320,г,простоквашино,молочка,159.99,ИСТИНА,пятерочка
11,творог,cottage cheese,5%,180,г,станция молочная,молочка,75.49,ИСТИНА,пятерочка
12,сыр,cheese,50%,230,г,ламбер,молочка,349.99,ИСТИНА,пятерочка
13,сыр,cheese,45%,200,г,брест-литовск,молочка,199.99,ИСТИНА,пятерочка
14,сыр,cheese,45%,190,г,белебеевский,молочка,199.99,ИСТИНА,пятерочка
15,сыр,cheese,35%,200,г,брест-литовск,молочка,209.99,ИСТИНА,пятерочка
16,яйца,eggs,c1,10,шт,село зеленое,яйцо,114.99,ИСТИНА,пятерочка
17,яйца,eggs,с1,15,шт,вараксино,яйцо,139.99,ИСТИНА,пятерочка
18,яйца,eggs,с1,10,шт,вараксино,яйцо,109.99,ИСТИНА,пятерочка
19,яйца,eggs,с0,10,шт,ешь хорошее,яйцо,134.99,ИСТИНА,пятерочка
20,фарш,mince,домашний,400,г,рестория,мясо,199.99,ИСТИНА,пятерочка
21,фарш,mince,говяжий,400,г,рестория,мясо,236.99,ИСТИНА,пятерочка
22,фарш,mince,говяжий,400,г,мираторг,мясо,259.99,ИСТИНА,пятерочка
23,фарш,mince,индюшачий,450,г,индилайт,птица,169.99,ИСТИНА,пятерочка
24,фарш,mince,куриный,500,г,хорошее дело,птица,89.99,ИСТИНА,пятерочка
25,азу,slices,индейка,500,г,рестория,птица,269.99,ЛОЖЬ,пятерочка
26,филе,fillet,индейка,500,г,индилайт,птица,339.99,ЛОЖЬ,пятерочка
27,филе,fillet,курица,1,кг,пестречинка,птица,459.99,ЛОЖЬ,пятерочка
28,печень,liver,курица,500,г,красная цена,птица,159.99,ИСТИНА,пятерочка
29,грудка,breast,курица,1,кг,акашево,птица,286.99,ЛОЖЬ,пятерочка
30,крылья,wings,курица,1,кг,павловская курочка,птица,279.99,ИСТИНА,пятерочка
31,колбаса,sausage,вареная,450,г,вязанка,колбаса,139.99,ИСТИНА,пятерочка
32,колбаса,sausage,вареная,370,г,вязанка,колбаса,239.99,ИСТИНА,пятерочка
33,колбаса,sausage,сервелат,400,г,стародворье,колбаса,139.99,ИСТИНА,пятерочка
34,колбаса,sausage,вареная,700,г,delikaiser,колбаса,199.99,ИСТИНА,пятерочка
35,рис,rice,длиннозерный,5,порций - пакетиков по 40 г,увелка,бакалея,126.99,ИСТИНА,пятерочка
36,макароны,pasta,спирали,450,г,barilla,бакалея,94.99,ИСТИНА,пятерочка
