product_id,product_name_ru,product_name_eng,product_type,quantity,unit,brand,category,price,availability,store
0,молоко,milk,"3,20%",1.4,л,простоквашино,молочка,142.99,ИСТИНА,пятерочка
1,молоко,milk,"2,50%",925.0,мл,му-у,молочка,99.99,ЛОЖЬ,пятерочка
2,молоко,milk,"3,40%",930.0,мл,простоквашино,молочка,109.99,ЛОЖЬ,пятерочка
3,молоко,milk,"3,20%",1.947,л,село зеленое,молочка,199.99,ЛОЖЬ,пятерочка
4,молоко,milk,"2,50%",900.0,мл,станция молочная,молочка,82.99,ЛОЖЬ,пятерочка
5,молоко,milk,"3,30%",930.0,мл,станция молочная,молочка,96.49,ИСТИНА,пятерочка
6,сметана,sour cream,15%,300.0,г,домик в деревне,молочка,104.99,ИСТИНА,пятерочка
7,сметана,sour cream,20%,320.0,г,ростагроэкспорт,молочка,132.99,ИСТИНА,пятерочка
8,сметана,sour cream,20%,300.0,г,простоквашино,молочка,114.99,ЛОЖЬ,пятерочка
9,творог,cottage cheese,9%,180.0,г,искренне ваш,молочка,84.99,ИСТИНА,пятерочка
10,творог,cottage cheese,5%,320.0,г,простоквашино,молочка,159.99,ИСТИНА,пятерочка
11,творог,cottage cheese,5%,180.0,г,станция молочная,молочка,75.49,ЛОЖЬ,пятерочка
12,сыр,cheese,50%,230.0,г,ламбер,молочка,349.99,ИСТИНА,пятерочка
13,сыр,cheese,45%,200.0,г,брест-литовск,молочка,199.99,ЛОЖЬ,пятерочка
14,сыр,cheese,45%,190.0,г,белебеевский,молочка,199.99,ЛОЖЬ,пятерочка
15,сыр,cheese,35%,200.0,г,брест-литовск,молочка,209.99,ИСТИНА,пятерочка
16,яйца,eggs,c1,10.0,шт,село зеленое,яйцо,114.99,ИСТИНА,пятерочка
17,яйца,eggs,с1,15.0,шт,вараксино,яйцо,139.99,ИСТИНА,пятерочка
18,яйца,eggs,с1,10.0,шт,вараксино,яйцо,109.99,ИСТИНА,пятерочка
19,яйца,eggs,с0,10.0,шт,ешь хорошее,яйцо,134.99,ИСТИНА,пятерочка
20,фарш,mince,домашний,400.0,г,рестория,мясо,199.99,ЛОЖЬ,пятерочка
21,фарш,mince,говяжий,400.0,г,рестория,мясо,236.99,ИСТИНА,пятерочка
22,фарш,mince,говяжий,400.0,г,мираторг,мясо,259.99,ИСТИНА,пятерочка
23,фарш,mince,индюшачий,450.0,г,индилайт,птица,169.99,ЛОЖЬ,пятерочка
24,фарш,mince,куриный,500.0,г,хорошее дело,птица,89.99,ИСТИНА,пятерочка
25,азу,slices,индейка,500.0,г,рестория,птица,269.99,ЛОЖЬ,пятерочка
26,филе,fillet,индейка,500.0,г,индилайт,птица,339.99,ИСТИНА,пятерочка
27,филе,fillet,курица,1.0,кг,пестречинка,птица,459.99,ИСТИНА,пятерочка
28,печень,liver,курица,500.0,г,красная цена,птица,159.99,ИСТИНА,пятерочка
29,грудка,breast,курица,1.0,кг,акашево,птица,286.99,ИСТИНА,пятерочка
30,крылья,wings,курица,1.0,кг,павловская курочка,птица,279.99,ИСТИНА,пятерочка
31,колбаса,sausage,вареная,450.0,г,вязанка,колбаса,139.99,ИСТИНА,пятерочка
32,колбаса,sausage,вареная,370.0,г,вязанка,колбаса,239.99,ИСТИНА,пятерочка
33,колбаса,sausage,сервелат,400.0,г,стародворье,колбаса,139.99,ИСТИНА,пятерочка
34,колбаса,sausage,вареная,700.0,г,delikaiser,колбаса,199.99,ЛОЖЬ,пятерочка
35,рис,rice,длиннозерный,5.0,порций - пакетиков по 40 г,увелка,бакалея,126.99,ИСТИНА,пятерочка
36,макароны,pasta,спирали,450.0,г,barilla,бакалея,94.99,ЛОЖЬ,пятерочка
37,макароны,pasta,спирали,450.0,г,шебекинские,бакалея,59.99,ИСТИНА,пятерочка
38,макароны,pasta,спагетти,450.0,г,makfa,бакалея,56.99,ИСТИНА,пятерочка
39,гречка,buckwheat,пропаренная,900.0,г,селяночка,бакалея,87.99,ИСТИНА,пятерочка
40,рис,rice,круглозерный,5.0,порций - пакетиков по 40 г,селяночка,бакалея,75.99,ЛОЖЬ,пятерочка
41,макароны,pasta,рожки,450.0,г,baisad,бакалея,54.99,ИСТИНА,пятерочка
42,рис,rice,для плова,800.0,г,global village,бакалея,99.99,ЛОЖЬ,пятерочка
43,майонез,mayo,с лимонным соком,655.0,мл,махеев,соусы,184.99,ИСТИНА,пятерочка
44,соус,sauce,баффало,200.0,г,heinz,соусы,159.99,ИСТИНА,пятерочка
45,майонез,mayo,67%,800.0,мл,слобода,соусы,174.99,ИСТИНА,пятерочка
46,кетчуп,ketchup,томатный,320.0,г,heinz,соусы,124.99,ИСТИНА,пятерочка
47,кетчуп,ketchup,томатный,300.0,г,махеев,соусы,93.99,ИСТИНА,пятерочка
48,соус,sauce,соевый,250.0,мл,домшим,соусы,71.99,ИСТИНА,пятерочка
49,соус,sauce,бургер,200.0,г,astoria,соусы,84.99,ИСТИНА,пятерочка
50,соус,sauce,сырный,233.0,г,рестория,соусы,57.99,ИСТИНА,пятерочка
51,кофе,coffee,зерновой,800.0,г,venetto,кофе и чай,957.0,ИСТИНА,пятерочка
52,чай,tea,зеленый с манго,25.0,пакетиков,greenfield,кофе и чай,155.99,ИСТИНА,пятерочка
53,сахар,sugar,рафинад,500.0,г,русский,специи,62.99,ЛОЖЬ,пятерочка
54,чай,tea,черный,100.0,пакетиков,greenfield,кофе и чай,339.99,ИСТИНА,пятерочка
55,сахар,sugar,песок,500.0,г,сытое царство,специи,42.99,ИСТИНА,пятерочка
56,кофе,coffee,растворимый,95.0,г,monarch,кофе и чай,389.99,ИСТИНА,пятерочка
57,чай,tea,черный,25.0,пакетиков,азерчай,кофе и чай,84.99,ИСТИНА,пятерочка
58,сахар,sugar,песок,1.0,кг,советский,специи,103.99,ИСТИНА,пятерочка
59,кофе,coffee,молотый,250.0,г,жокей,кофе и чай,349.99,ЛОЖЬ,пятерочка
60,кофе,coffee,молотый,200.0,г,lalibela,кофе и чай,309.99,ИСТИНА,пятерочка
61,какао,cacao,быстрорастворимый,250.0,г,хрутка,бакалея,236.99,ИСТИНА,пятерочка
62,какао,cacao,быстрорастворимый,300.0,г,учтышки,бакалея,159.99,ИСТИНА,пятерочка
63,какао,cacao,порошок,100.0,г,золотой ярлык,бакалея,149.99,ЛОЖЬ,пятерочка
64,соль,salt,йодированная,500.0,г,экстра,бакалея,79.99,ИСТИНА,пятерочка
65,соль,salt,выварочная,500.0,г,экстра,бакалея,82.99,ИСТИНА,пятерочка
66,соль,,морская,500.0,г,sea salt,бакалея,71.99,ИСТИНА,пятерочка
67,молоко,milk,"3,20%",1.4,л,простоквашино,молочка,142.99,ИСТИНА,пятерочка
68,шоколад,chocolate,молочный,90.0,г,Аленка,сладкое,79.99,ЛОЖЬ,пятерочка
69,печенье,cookies,овсяное,300.0,г,Юбилейное,сладкое,99.99,ЛОЖЬ,пятерочка
70,яблоки,apples,сезонные,1.0,кг,Красная цена,фрукты,129.99,ЛОЖЬ,пятерочка
71,бананы,bananas,эквадор,1.0,кг,Dole,фрукты,119.99,ИСТИНА,пятерочка
72,картофель,potatoes,молодой,1.0,кг,местный,овощи,39.99,ИСТИНА,пятерочка
73,огурцы,cucumbers,гладкие,1.0,кг,тепличные,овощи,89.99,ИСТИНА,пятерочка
74,батон,loaf,нарезной,400.0,г,Хлебный дом,хлеб,39.99,ИСТИНА,пятерочка
75,ржаной хлеб,rye bread,бородинский,350.0,г,Дарницкий,хлеб,44.99,ИСТИНА,пятерочка
76,пельмени,dumplings,свинина/говядина,800.0,г,Сибирская коллекция,заморозка,339.99,ЛОЖЬ,пятерочка
77,овощи,vegetables,смесь,400.0,г,Hortex,заморозка,124.99,ИСТИНА,пятерочка
78,сок,juice,апельсиновый,1.0,л,Добрый,напитки,139.99,ИСТИНА,пятерочка
79,вода,water,негазированная,1.5,л,Святой источник,напитки,42.99,ИСТИНА,пятерочка
80,молоко,milk,"3,20%",1.4,л,простоквашино,молочка,181.93,ИСТИНА,магнит
81,молоко,milk,"2,50%",925.0,мл,му-у,молочка,112.9,ИСТИНА,магнит
82,молоко,milk,"3,40%",930.0,мл,простоквашино,молочка,120.07,ИСТИНА,магнит
83,молоко,milk,"3,20%",1.947,л,село зеленое,молочка,235.19,ЛОЖЬ,магнит
84,молоко,milk,"2,50%",900.0,мл,станция молочная,молочка,106.63,ИСТИНА,магнит
85,молоко,milk,"3,30%",930.0,мл,станция молочная,молочка,96.6,ИСТИНА,магнит
